"ID (например kin.01, mkt.03)",Экзамен (ЕГЭ / ОГЭ / ЕГЭ+ОГЭ),Раздел,Тема,Подтема,Название формулы,Подсказка для сборки,Формула (LaTeX),Формула (текст),Переменные (символ — название — единица),Физический смысл (для блока «Как рассуждать»),Зависимости (прямая / обратная),Размерности,Откуда выводится,Когда применять (Layer 1 — ситуации),Частые ошибки / ловушки,Связанные формулы (ID через запятую — для дистракторов),Сложность (1 / 2 / 3),Мутации Layer 3 (тип; неверный LaTeX; подсказка),Рецепт сборки (числитель | знаменатель),Источник (sokrat / egor / elena),Автор,Ревью,Статус (draft / review / ready),Комментарии
cons.21,ЕГЭ,Механика,Законы сохранения,Законы сохранения,Механическая энергия системы тел,,$E_{мех}=E_{кин}+E_{пот}$,,,"$E_{мех}$ - механическая энергия системы тел
$E_{кин}$ - сумма кинетических энергий тел, входящих в систему
$E_{пот}$ - сумма потенциальных энергий тел, входящих в систему",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.22,ЕГЭ,Механика,Законы сохранения,Законы сохранения,Закон сохранения механической энергии,,"Если $A_{непот\ сил}=0$, то $\Delta E_{мех}=0$, т.е. $$E_{кин\ нач}+ E_{пот\ нач}= E_{кин\ кон}+ E_{пот\ кон}$$",,,"$E_{кин\ нач}$ - сумма начальных кинетических энергий тел, входящих в систему
$E_{пот\ нач}$ - сумма начальных потенциальных энергий тел, входящих в систему
$E_{кин\ кон}$ - сумма конечных кинетических энергий тел, входящих в систему
$E_{пот\ кон}$ - сумма конечных потенциальных энергий тел, входящих в систему
$A_{непот\ сил}$ - сумма работ всех непотенциальных сил в системе (и внешних, и внутренних).
$\Delta E_{мех}=(E_{кин\ кон}+ E_{пот\ кон})-(E_{кин\ нач}+ E_{пот\ нач})$ - изменение механической энергии системы тел

Как правило, работа непотенциальных сил в системе приводит к выделению тепла, то есть к переходу механической энергии во внутреннюю. А если непотенциальные силы не совершают работу, то механическая энергия сохраняется.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.23,ЕГЭ,Механика,Законы сохранения,Законы сохранения,Закон изменения механической энергии,,$A_{непот\ сил}=\Delta E_{мех}$,,,"$A_{непот\ сил}$ - сумма работ всех непотенциальных сил в системе (и внешних, и внутренних).
$\Delta E_{мех}$ - изменение механической энергии системы тел
Как правило, работа непотенциальных сил в системе приводит к выделению тепла, то есть к переходу механической энергии во внутреннюю. Можно сказать, что полное количество теплоты $Q$, выделяющееся в системе – это $Q=-\Delta E_{мех}=- A_{непот\ сил}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.24,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Импульс тела,,$\vec{p}=m\vec{v}$,,,"$\vec{p}$ - импульс тела
$m$ - масса тела
$\vec{v}$ - скорость тела

Обратите внимание, что так как масса всегда положительная, то импульс тела всегда сонаправлен с его скоростью.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.25,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Второй закон Ньютона в импульсной форме,,$\vec{F}\Delta t=\Delta \vec{p}=\vec{p}_к-\vec{p}_н$,,,"$\vec{F}$ - сила, действующая на тело
$\Delta t$ - время действия силы
$\Delta \vec{p}$ - изменение импульса тела
$\vec{p}_к$ - конечный импульс тела
$\vec{p}_н$ - начальный импульс тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.26,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Импульс системы тел,,$\vec{p}_{сист}=\vec{p}_1+\vec{p}_2+...$,,,"$\vec{p}_{сист}$ - импульс системы тел
$\vec{p}_1$ - импульс первого тела
$\vec{p}_2$ - импульс второго тела

Импульсы нужно сложить векторно, с помощью правила треугольника или параллелограмма.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.27,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Закон изменения импульса системы тел,,$\vec{F}_{внешн}\Delta t=\Delta \vec{p}_{сист}$,,,"Все силы, действующие на систему тел, делятся на внешние и внутренние. Внешние силы действуют со стороны тел, которые не являются частью системы тел, а внутренние действуют между частями системы. 

$\vec{F}_{внешн}$ - равнодействующая всех внешних сил, действующих на систему тел, т.е. векторная сумма таких сил.
$\Delta t$ - время действия внешних сил.
$\Delta \vec{p}_{сист}$ - изменения импульса системы тел.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.28,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Закон сохранения импульса,,"Если внешние силы вдоль какой-либо оси не действуют или время действия неударных сил мало, то система замкнутая и её импульс сохраняется вдоль этой оси.",,,"Время действия неударных сил мало, например, если мы рассматриваем взрыв снаряда или столкновение 2-х тел. 
Ударные силы - это, как правило, сила нормальной реакции опоры со стороны пола, стены или сила трения, которая связана через коэффициент трения с этой силой реакции опоры.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.29,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Работа силы,,$A=FS\cos(\alpha)$,,,"$A$ - работа силы
$F$ - модуль силы
$S$ - модуль перемещения
$\alpha$ - угол между векторами силы и пермещения

Если $\alpha=0^{\circ}$, то $A=FS$
Если $\alpha=90^{\circ}$, то $A=0\;(Дж)$
Если $\alpha=180^{\circ}$, то $A=-FS$
Если $0^{\circ}\leq\alpha<90^{\circ}$, то $A>0\;(Дж)$ (сила ""помогает"" телу двигаться)
Если $90^{\circ}<\alpha \leq180^{\circ}$, то $A<0\;(Дж)$ (сила ""мешает"" телу двигаться)",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.30,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Мощность,,$P=\frac{A}{t}=\frac{Q}{t}=\frac{E}{t}$,,,"$P$ - мощность
$A$ - работа 
$t$ - время совершения работы или время передачи теплоты или время передачи энергии
$Q$ - переданное или полученное количество теплоты
$E$ - переданная или полученная энергия",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.31,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Кинетическая энергия тела (через скорость),,$E_{кин}=\frac{mv^2}{2}$,,,"$E_{кин}$ - кинетическая энергия тела
$m$ - масса тела
$v$ - скорость тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.32,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Кинетическая энергия тела (через импульс),,$E_{кин}=\frac{p^2}{2m}$,,,"$E_{кин}$ - кинетическая энергия тела
$p$ - импульс тела
$m$ - масса тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.33,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Теорема об изменении кинетической энергии:,,$A_{всех\ сил}=\Delta E_{кин}$,,,"$A_{всех\ сил}$ - сумма работ всех сил в системе (внешних и внутренних, потенциальных и непотенциальных)
$\Delta E_{кин}$ - изменение кинетической энергии системы, т.е. разность конечной и начальной кинетической энергии. 
Этот закон справедлив в инерциальных системах отсчёта для материальных точек.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.34,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Потенциальная энергия в поле тяжести,,$E_{пот}=mgh$,,,"$E_{пот}$ - потенциальная энергия материальной точки в однородном поле тяжести 
$m$ - масса тела
$g$ - ускорение свободного падения
$h$ - высота подъема тела над горизонтальном уровнем, на котором потенциальная энергия принимается за ноль (часто, но необязательно, это поверхность планеты).

Чтобы поле тяжести было однородным, $h$ должно быть намного меньше, чем расстояние от тела до центра планеты.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.35,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Работа потенциальных сил,,$A_{пот\ силы}=-\Delta E_{пот}$,,,"$A_{пот\ силы}$ - работа потенциальной силы
$(-\Delta E_{пот})$ - уменьшение потенциальной энергии тела, т.е. разность начальной и конечной потенциальной энергии тела.
 
Потенциальные силы – силы, работа которых не зависит от формы траектории, а определяется только начальным и конечным положением тела. В ЕГЭ и ОГЭ к потенциальным относят силу тяжести, силу упругости и силу Кулона. К непотенциальным относят силу трения и сопротивления воздуха, силы нормальной реакции опоры и натяжения нити.  

Уравнение $A_{пот\ силы}=-\Delta E_{пот}$ показывает, что при совершении потенциальной силой положительной работы расходуется потенциальная энергия тела, поэтому $\Delta E_{пот}<0$ и в  исходной формуле появляется знак минус после знака равно.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.36,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Механическая энергия системы тел,,$E_{мех}=E_{кин}+E_{пот}$,,,"$E_{мех}$ - механическая энергия системы тел
$E_{кин}$ - сумма кинетических энергий тел, входящих в систему
$E_{пот}$ - сумма потенциальных энергий тел, входящих в систему",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.37,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Закон сохранения механической энергии,,"Если $A_{непот\ сил}=0$, то $\Delta E_{мех}=0$, т.е. $$E_{кин\ нач}+ E_{пот\ нач}= E_{кин\ кон}+ E_{пот\ кон}$$",,,"$E_{кин\ нач}$ - сумма начальных кинетических энергий тел, входящих в систему
$E_{пот\ нач}$ - сумма начальных потенциальных энергий тел, входящих в систему
$E_{кин\ кон}$ - сумма конечных кинетических энергий тел, входящих в систему
$E_{пот\ кон}$ - сумма конечных потенциальных энергий тел, входящих в систему
$A_{непот\ сил}$ - сумма работ всех непотенциальных сил в системе (и внешних, и внутренних).
$\Delta E_{мех}=(E_{кин\ кон}+ E_{пот\ кон})-(E_{кин\ нач}+ E_{пот\ нач})$ - изменение механической энергии системы тел

Как правило, работа непотенциальных сил в системе приводит к выделению тепла, то есть к переходу механической энергии во внутреннюю. А если непотенциальные силы не совершают работу, то механическая энергия сохраняется.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
cons.38,ОГЭ,Механика,Законы сохранения,Законы сохранения (общая),Закон изменения механической энергии,,$A_{непот\ сил}=\Delta E_{мех}$,,,"$A_{непот\ сил}$ - сумма работ всех непотенциальных сил в системе (и внешних, и внутренних).
$\Delta E_{мех}$ - изменение механической энергии системы тел
Как правило, работа непотенциальных сил в системе приводит к выделению тепла, то есть к переходу механической энергии во внутреннюю. Можно сказать, что полное количество теплоты $Q$, выделяющееся в системе – это $Q=-\Delta E_{мех}=- A_{непот\ сил}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.02,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Момент силы,,$M=Fl$,,,"$M$ - момент силы
$F$ - модуль силы
$l$ - плечо силы - длина перпендикуляра от оси на линию действия силы. 

Если линия действия силы проходит через ось, то $l=0$ и $M=0$, т.е. сила не приводит к вращению тела вокруг оси. В задачах стараемся выбирать ось для уравнения моментов там, где пересекаются линии действия тех сил, которые не даны и не нужны.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.03,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Момент силы,,$M=Fl$,,,"$M$ - момент силы
$F$ - модуль силы
$l$ - плечо силы - длина перпендикуляра от оси на линию действия силы. 

Если линия действия силы проходит через ось, то $l=0$ и $M=0$, т.е. сила не приводит к вращению тела вокруг оси. В задачах стараемся выбирать ось для уравнения моментов там, где пересекаются линии действия тех сил, которые не даны и не нужны.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.04,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,2 условия равновесия тела,,"$$    \begin{cases}
      \pm M_1\pm M_2\pm M_3\pm...=0; \\
      \vec{F}_1+\vec{F}_2+\vec{F}_3+...=\vec{0}
       
    \end{cases}
$$",,,"Перед моментом силы ставим плюс, если бы сила, оставшись единственной из действующих на тело, вращала бы тело против часовой стрелки. 
Перед моментом силы ставим минус, если бы сила, оставшись единственной из действующих на тело, вращала бы тело по часовой стрелке. 

$M_1$ - момент первой силы, действующей на тело. Аналогично $M_2$ - момент второй силы и так далее.
$\vec{F}_1$ - первая сила, действующая на тело. Аналогично $\vec{F}_2$ - вторая сила и так далее.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.05,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,2 условия равновесия тела,,"$$    \begin{cases}
      \pm M_1\pm M_2\pm M_3\pm...=0; \\
      \vec{F}_1+\vec{F}_2+\vec{F}_3+...=\vec{0}
       
    \end{cases}
$$",,,"Перед моментом силы ставим плюс, если бы сила, оставшись единственной из действующих на тело, вращала бы тело против часовой стрелки. 
Перед моментом силы ставим минус, если бы сила, оставшись единственной из действующих на тело, вращала бы тело по часовой стрелке. 

$M_1$ - момент первой силы, действующей на тело. Аналогично $M_2$ - момент второй силы и так далее.
$\vec{F}_1$ - первая сила, действующая на тело. Аналогично $\vec{F}_2$ - вторая сила и так далее.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.06,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Давление,,$p=\frac{F_\perp}{S}$,,,"$p$ - давление на площадку
$F_\perp$ - проекция силы, действующей на площадку, на ось, перпендикулярную площадке
$S$ - площадь площадки",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.07,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Давление,,$p=\frac{F_\perp}{S}$,,,"$p$ - давление на площадку
$F_\perp$ - проекция силы, действующей на площадку, на ось, перпендикулярную площадке
$S$ - площадь площадки",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.08,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Закон Паскаля,,"Давление, производимое на жидкость или газ, передается в любую точку без изменений во всех направлениях.",,,"Именно поэтому в результате выстрела из мелкокалиберной винтовки в вареное яйцо получится небольшое отверстие, а после выстрела в сырое яйцо оно разлетится во все стороны.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.09,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Закон Паскаля,,"Давление, производимое на жидкость или газ, передается в любую точку без изменений во всех направлениях.",,,"Именно поэтому в результате выстрела из мелкокалиберной винтовки в вареное яйцо получится небольшое отверстие, а после выстрела в сырое яйцо оно разлетится во все стороны.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.10,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Давление столба жидкости,,$p=p_о+\rho gh$,,,"$p$ - давление столба жидкости на глубине $h$
$p_о$ - атмосферное давление (или давление вблизи свободной поверхности жидкости)
$\rho$ - плотность жидкости
$g$ - ускорение свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.11,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Давление столба жидкости,,$p=p_о+\rho gh$,,,"$p$ - давление столба жидкости на глубине $h$
$p_о$ - атмосферное давление (или давление вблизи свободной поверхности жидкости)
$\rho$ - плотность жидкости
$g$ - ускорение свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.12,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Сила Архимеда (выталкивающая сила),,$F_{Арх}=\rho gV_{вытесн}$,,,"$F_{Арх}$ - сила Архимеда - сила, выталкивающая тело из жидкости или газа
$\rho$ - плотность жидкости или газа
$g$ - ускорение свободного падения
$V_{вытесн}$ - объем вытесненной жидкости, он же объем погруженной части тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.13,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Сила Архимеда (выталкивающая сила),,$F_{Арх}=\rho gV_{вытесн}$,,,"$F_{Арх}$ - сила Архимеда - сила, выталкивающая тело из жидкости или газа
$\rho$ - плотность жидкости или газа
$g$ - ускорение свободного падения
$V_{вытесн}$ - объем вытесненной жидкости, он же объем погруженной части тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.14,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,"Доля объема тела, погруженная в жидкость (помнить с выводом)",,$\frac{V_{погр}}{V_{тела}}=\frac{\rho_{тела}}{\rho_{жидк}}$,,,"Условие равновесия тела, плавающего вблизи поверхности жидкости:
$$F_{Арх}-mg=0$$$$\rho_{жидк}V_{погр}g=\rho_{тела} V_{тела}g$$$$\frac{V_{погр}}{V_{тела}}=\frac{\rho_{тела}}{\rho_{жидк}}$$$V_{погр}$ - объем погруженной в жидкость части тела
$V_{тела}$ - объем тела
$\rho_{тела}$ - плотность тела
$\rho_{жидк}$- плотность жидкости",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.15,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,"Доля объема тела, погруженная в жидкость (помнить с выводом)",,$\frac{V_{погр}}{V_{тела}}=\frac{\rho_{тела}}{\rho_{жидк}}$,,,"Условие равновесия тела, плавающего вблизи поверхности жидкости:
$$F_{Арх}-mg=0$$$$\rho_{жидк}V_{погр}g=\rho_{тела} V_{тела}g$$$$\frac{V_{погр}}{V_{тела}}=\frac{\rho_{тела}}{\rho_{жидк}}$$$V_{погр}$ - объем погруженной в жидкость части тела
$V_{тела}$ - объем тела
$\rho_{тела}$ - плотность тела
$\rho_{жидк}$- плотность жидкости",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.16,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,"Действует ли сила Архимеда, если тело лежит на дне и жидкость под него не подтекает?",,"Нет. Сила Архимеда объясняется тем, что давление на нижнюю часть тела выше, чем на верхнюю, потому что нижняя часть тела находится глубже. Если жидкость не подтекает, то двление на тело сверху есть, а снизу нет, поэтому жидкость прижимает тело ко дну.",,,"Такое может наблюдаться, если лодка лежит на илистом дне. Или мы смазали дно сосуда, например, парафином.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.17,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Аквариум совершает свободное падение. Действует ли сила Архимеда?,,"Нет. Сила Архимеда равна по модулю весу вытесненной жидкости. Это состояние невесомости, поэтому силы Архимеда нет.",,,"Все слои жидкости падают с одинаковым ускорением, поэтому давление в жидкости не увеличивается с глубиной.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.18,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Аквариум совершает свободное падение. Действует ли сила Архимеда?,,"Нет. Сила Архимеда равна по модулю весу вытесненной жидкости. Это состояние невесомости, поэтому силы Архимеда нет.",,,"Все слои жидкости падают с одинаковым ускорением, поэтому давление в жидкости не увеличивается с глубиной.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.19,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Даёт ли выигрыш в силе неподвижный блок?,,"Неподвижный блок не даёт выигрыша в силе, но зато не даёт и проигрыша в расстоянии.",,,"Неподвижный блок - блок, центр которого не двигается при движении груза. 

Неподвижный блок просто перенаправляет наше усилие. Его удобно использовать для подъема тяжестей вверх. Благодаря неподвижному блоку можно для этого тянуть веревку вниз, выгодно используя вес собственного тела.

Никакой простой механизм не даёт выгрыш в работе.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.20,ОГЭ,Механика,Статика и гидростатика,Статика + гидростатика,Даёт ли выигрыш в силе подвижный блок?,,"Подвижный блок даёт выигрыш в силе в 2 раза, но при этом даёт проигрыш в расстоянии в 2 раза.",,,"Подвижный блок - блок, центр которого двигается при движении груза. 

Выигрыш в силе в 2 раза заключается в том, что сила тяжести груза, привязанного к подвижному блоку, в 2 раза больше, чем сила, которую нужно приложить к свободному концу нити для подъема груза.

Никакой простой механизм не даёт выгрыш в работе.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
stat.21,ЕГЭ,Механика,Статика и гидростатика,Статика + гидростатика,"Действует ли сила Архимеда, если тело лежит на дне и жидкость под него не подтекает?",,"Нет. Сила Архимеда объясняется тем, что давление на нижнюю часть тела выше, чем на верхнюю, потому что нижняя часть тела находится глубже. Если жидкость не подтекает, то двление на тело сверху есть, а снизу нет, поэтому жидкость прижимает тело ко дну.",,,"Такое может наблюдаться, если лодка лежит на илистом дне. Или мы смазали дно сосуда, например, парафином.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
wave.01,ЕГЭ,Механика,Механические колебания и волны,Колебания и волны,Координата тела при гармонических колебаниях,,$x=A\sin(\omega t+\phi_о)$,,,"$x$ - координата тела при гармонических колебаниях
$A$ - амплитуда колебаний тела
$(\omega t+\phi_о)$ - фаза колебаний тела
$\omega$ - циклическая частота колебаний. Она связана с периодом $T$ колебаний через уравнение ($\omega =\frac{2\pi}{T}$)
$t$ - время, прошедшее от начала наблюдений за колеблющимся телом
$\phi_о$ - начальная фаза колебаний тела. 

Если тело начинает колебания из положения равновесия в положительном направлении оси, то $\phi_о=0$ и $x=A\sin(\omega t)$. 
Если тело начинает колебания из положения равновесия в отрицательном направлении оси, то $\phi_о=\pi$ и
 $x=A\sin(\omega t+\pi)=-A\sin(\omega t)$. 
Если из амплитудного положения с положительной координатой, то $\phi_о=\frac{\pi}{2}$ и $x=A\sin(\omega t+\frac{\pi}{2})=A\cos(\omega t)$. 
Если из амплитудного положения с отрицательной координатой, то $\phi_о=-\frac{\pi}{2}$ и $x=A\sin(\omega t-\frac{\pi}{2})=-A\cos(\omega t)$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
